seed,delta,gamma,status,safe_mode_activations,disconnect_steps,replans,path_len
16,1.0,4.0,ok,1,6,1,0
16,2.0,0.0,ok,1,9,1,0
16,2.0,0.5,ok,1,8,1,0
16,2.0,1.0,ok,1,7,1,0
16,2.0,2.0,ok,1,6,1,0
16,2.0,4.0,ok,1,6,1,0
17,0.0,0.0,ok,1,20,1,8
17,0.0,0.5,ok,1,9,1,0
17,0.0,1.0,ok,1,10,1,0
17,0.0,2.0,ok,1,7,1,0
17,0.0,4.0,ok,0,6,0,54
17,0.5,0.0,ok,1,20,1,8
17,0.5,0.5,ok,1,9,1,0
17,0.5,1.0,ok,1,9,1,0
17,0.5,2.0,ok,1,7,1,0
17,0.5,4.0,ok,0,7,0,54
17,1.0,0.0,ok,1,20,1,8
17,1.0,0.5,ok,1,20,1,8
17,1.0,1.0,ok,1,9,1,0
17,1.0,2.0,ok,1,7,1,0
17,1.0,4.0,ok,1,7,1,0
17,2.0,0.0,ok,1,20,1,8
17,2.0,0.5,ok,1,20,1,8
17,2.0,1.0,ok,1,9,1,0
17,2.0,2.0,ok,1,10,1,0
17,2.0,4.0,ok,1,7,1,0
18,0.0,0.0,ok,1,20,1,7
18,0.0,0.5,ok,1,12,1,7
18,0.0,1.0,ok,1,12,1,7
18,0.0,2.0,ok,1,12,1,7
18,0.0,4.0,ok,1,12,1,7
18,0.5,0.0,ok,1,20,1,7
18,0.5,0.5,ok,1,15,1,7
18,0.5,1.0,ok,1,12,1,7
18,0.5,2.0,ok,1,12,1,7
18,0.5,4.0,ok,1,12,1,7
18,1.0,0.0,ok,1,20,1,7
18,1.0,0.5,ok,1,15,1,7
18,1.0,1.0,ok,1,12,1,7
18,1.0,2.0,ok,1,12,1,7
18,1.0,4.0,ok,1,12,1,7
18,2.0,0.0,ok,1,20,1,7
18,2.0,0.5,ok,1,15,1,7
18,2.0,1.0,ok,1,12,1,7
18,2.0,2.0,ok,1,12,1,7
18,2.0,4.0,ok,1,12,1,7
19,0.0,0.0,ok,1,16,1,8
19,0.0,0.5,ok,1,11,1,6
19,0.0,1.0,ok,1,10,1,6
19,0.0,2.0,ok,1,10,1,6
19,0.0,4.0,ok,0,8,0,54
19,0.5,0.0,ok,1,16,1,8
19,0.5,0.5,ok,1,11,1,6
19,0.5,1.0,ok,1,11,1,6
19,0.5,2.0,ok,1,10,1,6
19,0.5,4.0,ok,0,8,0,54
19,1.0,0.0,ok,1,16,1,8
19,1.0,0.5,ok,1,10,1,6
19,1.0,1.0,ok,1,11,1,6
19,1.0,2.0,ok,1,10,1,6
19,1.0,4.0,ok,1,10,1,6
19,2.0,0.0,ok,1,18,1,22
19,2.0,0.5,ok,1,10,1,6
19,2.0,1.0,ok,1,11,1,6
19,2.0,2.0,ok,1,10,1,6
19,2.0,4.0,ok,1,10,1,6
20,0.0,0.0,ok,1,25,1,28
20,0.0,0.5,ok,1,13,1,4
20,0.0,1.0,ok,1,9,1,4
20,0.0,2.0,ok,1,7,1,2
20,0.0,4.0,ok,1,7,1,2
20,0.5,0.0,ok,1,25,1,28
20,0.5,0.5,ok,1,14,1,4
20,0.5,1.0,ok,1,9,1,4
20,0.5,2.0,ok,1,9,1,4
20,0.5,4.0,ok,1,7,1,2
20,1.0,0.0,ok,1,25,1,28
20,1.0,0.5,ok,1,14,1,4
20,1.0,1.0,ok,1,11,1,4
20,1.0,2.0,ok,1,9,1,4
20,1.0,4.0,ok,1,7,1,2
20,2.0,0.0,ok,1,25,1,28
20,2.0,0.5,ok,1,19,1,4
20,2.0,1.0,ok,1,13,1,4
20,2.0,2.0,ok,1,9,1,4
20,2.0,4.0,ok,1,7,1,2
21,0.0,0.0,ok,1,9,1,4
21,0.0,0.5,ok,1,9,1,4
21,0.0,1.0,ok,1,9,1,4
21,0.0,2.0,ok,0,9,0,54
21,0.0,4.0,ok,0,8,0,54
21,0.5,0.0,ok,1,9,1,4
21,0.5,0.5,ok,1,9,1,4
21,0.5,1.0,ok,1,9,1,4
21,0.5,2.0,ok,0,9,0,54
21,0.5,4.0,ok,0,8,0,54
21,1.0,0.0,ok,1,9,1,4
21,1.0,0.5,ok,1,9,1,4
21,1.0,1.0,ok,1,9,1,4
21,1.0,2.0,ok,1,9,1,4
21,1.0,4.0,ok,0,9,0,54
21,2.0,0.0,ok,1,9,1,4
21,2.0,0.5,ok,1,9,1,4
21,2.0,1.0,ok,1,9,1,4
21,2.0,2.0,ok,1,9,1,4
21,2.0,4.0,ok,0,9,0,54
22,0.0,0.0,ok,1,9,1,1
22,0.0,0.5,ok,0,6,0,54
22,0.0,1.0,ok,0,6,0,54
22,0.0,2.0,ok,0,6,0,54
22,0.0,4.0,ok,0,6,0,54
22,0.5,0.0,ok,1,9,1,1
22,0.5,0.5,ok,0,6,0,54
22,0.5,1.0,ok,0,6,0,54
22,0.5,2.0,ok,0,6,0,54
22,0.5,4.0,ok,0,6,0,54
22,1.0,0.0,ok,1,9,1,1
22,1.0,0.5,ok,0,4,0,54
