cell_id,row,col,center_x,center_z,covered,uncertainty
479,15,14,-9.046348278625445,-17.832993293053043,0,0.8
480,15,15,-8.046348278625445,-17.832993293053043,0,0.8
481,15,16,-7.0463482786254446,-17.832993293053043,0,0.8
482,15,17,-6.0463482786254446,-17.832993293053043,0,0.8
483,15,18,-5.0463482786254446,-17.832993293053043,0,0.8
484,15,19,-4.0463482786254446,-17.832993293053043,0,0.8
485,15,20,-3.046348278625445,-17.832993293053043,0,0.8
486,15,21,-2.046348278625445,-17.832993293053043,0,0.8
487,15,22,-1.0463482786254446,-17.832993293053043,1,0.2
488,15,23,-0.0463482786254445,-17.832993293053043,1,0.2
489,15,24,0.9536517213745554,-17.832993293053043,1,0.2
490,15,25,1.9536517213745557,-17.832993293053043,0,0.8
491,15,26,2.9536517213745554,-17.832993293053043,0,0.8
492,15,27,3.953651721374555,-17.832993293053043,0,0.8
493,15,28,4.9536517213745554,-17.832993293053043,0,0.8
494,15,29,5.9536517213745554,-17.832993293053043,0,0.8
495,15,30,6.9536517213745554,-17.832993293053043,0,0.8
496,16,0,-23.046348278625445,-16.832993293053043,0,0.8
497,16,1,-22.046348278625445,-16.832993293053043,0,0.8
498,16,2,-21.046348278625445,-16.832993293053043,0,0.8
499,16,3,-20.046348278625445,-16.832993293053043,1,0.2
500,16,4,-19.046348278625445,-16.832993293053043,1,0.2
501,16,5,-18.046348278625445,-16.832993293053043,1,0.2
502,16,6,-17.046348278625445,-16.832993293053043,0,0.8
503,16,7,-16.046348278625445,-16.832993293053043,0,0.8
504,16,8,-15.046348278625445,-16.832993293053043,0,0.8
505,16,9,-14.046348278625445,-16.832993293053043,0,0.8
506,16,10,-13.046348278625445,-16.832993293053043,0,0.8
507,16,11,-12.046348278625445,-16.832993293053043,0,0.8
508,16,12,-11.046348278625445,-16.832993293053043,0,0.8
509,16,13,-10.046348278625445,-16.832993293053043,0,0.8
510,16,14,-9.046348278625445,-16.832993293053043,0,0.8
511,16,15,-8.046348278625445,-16.832993293053043,0,0.8
512,16,16,-7.0463482786254446,-16.832993293053043,0,0.8
513,16,17,-6.0463482786254446,-16.832993293053043,0,0.8
514,16,18,-5.0463482786254446,-16.832993293053043,0,0.8
515,16,19,-4.0463482786254446,-16.832993293053043,0,0.8
516,16,20,-3.046348278625445,-16.832993293053043,0,0.8
517,16,21,-2.046348278625445,-16.832993293053043,1,0.2
518,16,22,-1.0463482786254446,-16.832993293053043,1,0.2
519,16,23,-0.0463482786254445,-16.832993293053043,1,0.2
520,16,24,0.9536517213745554,-16.832993293053043,1,0.2
521,16,25,1.9536517213745557,-16.832993293053043,0,0.8
522,16,26,2.9536517213745554,-16.832993293053043,0,0.8
523,16,27,3.953651721374555,-16.832993293053043,0,0.8
524,16,28,4.9536517213745554,-16.832993293053043,0,0.8
525,16,29,5.9536517213745554,-16.832993293053043,0,0.8
526,16,30,6.9536517213745554,-16.832993293053043,0,0.8
527,17,0,-23.046348278625445,-15.832993293053043,0,0.8
528,17,1,-22.046348278625445,-15.832993293053043,0,0.8
529,17,2,-21.046348278625445,-15.832993293053043,0,0.8
530,17,3,-20.046348278625445,-15.832993293053043,1,0.2
531,17,4,-19.046348278625445,-15.832993293053043,1,0.2
532,17,5,-18.046348278625445,-15.832993293053043,1,0.2
533,17,6,-17.046348278625445,-15.832993293053043,0,0.8
534,17,7,-16.046348278625445,-15.832993293053043,0,0.8
535,17,8,-15.046348278625445,-15.832993293053043,0,0.8
536,17,9,-14.046348278625445,-15.832993293053043,0,0.8
537,17,10,-13.046348278625445,-15.832993293053043,0,0.8
538,17,11,-12.046348278625445,-15.832993293053043,0,0.8
539,17,12,-11.046348278625445,-15.832993293053043,0,0.8
540,17,13,-10.046348278625445,-15.832993293053043,0,0.8
541,17,14,-9.046348278625445,-15.832993293053043,0,0.8
542,17,15,-8.046348278625445,-15.832993293053043,0,0.8
543,17,16,-7.0463482786254446,-15.832993293053043,0,0.8
